county,county_code,state,pop_total,pct_aian,pct_asian,pct_black,pct_nonwhite,pct_white,pm_24hr
Lake County,6033,California,64665,0.0316863836696822,0.0111961648496095,0.0190520374236449,0.195345240856723,0.804654759143277,85
Los Angeles County,6037,California,9818605,0.00741734696527664,0.137174781957315,0.0872704421860336,0.49721992075249,0.50278007924751,53
Madera County,6039,California,150865,0.0274152387896464,0.0185728962980148,0.0373115036622146,0.373903821297186,0.626096178702814,88
Marin County,6041,California,252409,0.0060338577467523,0.0545186582094933,0.0276812633463941,0.199858166705625,0.800141833294375,41
Mendocino County,6045,California,87841,0.0486902471511026,0.0165070980521624,0.00708097585410002,0.234776471123963,0.765223528876037,62
Merced County,6047,California,255793,0.0135773848385218,0.0736376679580755,0.038804814830742,0.419917667801699,0.580082332198301,78
Mono County,6051,California,14202,0.0212646106182228,0.0135192226446979,0.00330939304323335,0.176383607942543,0.823616392057457,453
Monterey County,6053,California,415057,0.013164456930012,0.0608542923020212,0.0308029981424238,0.444131769853297,0.555868230146703,64
Napa County,6055,California,136484,0.00775182438967205,0.0675756865273585,0.0195480788956947,0.285447378447291,0.71455262155271,57
Nevada County,6057,California,98764,0.0105706532744725,0.0120185492689644,0.00393868211089061,0.0863776274755984,0.913622372524402,90
Orange County,6059,California,3010232,0.0060234559994047,0.178658654881086,0.0168571724704275,0.391821627037385,0.608178372962616,42
Placer County,6061,California,348432,0.00864157138265142,0.0586484593837535,0.0136353721816595,0.16489587638334,0.83510412361666,93
Plumas County,6063,California,20007,0.0269405708002199,0.00669765582046284,0.00959664117558854,0.110461338531514,0.889538661468486,109
Riverside County,6065,California,2189641,0.0108282590616453,0.0595841966788163,0.0641854075622442,0.390243880161177,0.609756119838823,40
Sacramento County,6067,California,1418788,0.0100846638116477,0.143228586652833,0.103650439671043,0.425459617645483,0.574540382354517,85
San Benito County,6069,California,55269,0.0161935262081818,0.0261086685121859,0.00873907615480649,0.363458720078163,0.636541279921837,59
San Bernardino County,6071,California,2035210,0.01114823531724,0.063189056657544,0.0893578549633699,0.433394588273446,0.566605411726554,43
San Diego County,6073,California,3095313,0.00850964022055282,0.108580618502878,0.0511137322784481,0.35985730683779,0.64014269316221,75
San Francisco County,6075,California,805235,0.00499729892515849,0.332716536166461,0.0606903574732842,0.515188733723696,0.484811266276305,40
San Joaquin County,6077,California,685306,0.0105004187910218,0.143690555751737,0.07550495690976,0.490319652826621,0.50968034717338,92
San Luis Obispo County,6079,California,269637,0.00940523741177954,0.0315498243935365,0.0205832285628456,0.173867087973832,0.826132912026169,63
San Mateo County,6081,California,718451,0.00460156642554607,0.247919482330737,0.0284445285760616,0.466164011185175,0.533835988814825,46
Santa Barbara County,6083,California,423895,0.0129395251182486,0.048750280140129,0.0200828035244577,0.303780417320327,0.696219582679673,37
Santa Clara County,6085,California,1781642,0.00727418864171366,0.320223703751932,0.0260591072729538,0.53042418173797,0.46957581826203,56
Santa Cruz County,6087,California,262382,0.00858671707662873,0.0423504661142914,0.010541881683957,0.275072222942123,0.724927777057878,88
Shasta County,6089,California,177223,0.027930911901954,0.024776693769996,0.00873475790388381,0.132584371103074,0.867415628896926,66
Siskiyou County,6093,California,44900,0.0404008908685969,0.0120267260579065,0.01271714922049,0.153006681514477,0.846993318485523,85
Solano County,6095,California,413344,0.00777076720600759,0.146301869629171,0.146972013625455,0.490131706278548,0.509868293721452,52
Sonoma County,6097,California,483878,0.0134104051021125,0.0379041824592149,0.0157271047660774,0.232426355403635,0.767573644596365,34
Stanislaus County,6099,California,514453,0.0114723794010337,0.0507140593990122,0.0286148588889558,0.344270516451454,0.655729483548546,87
Sutter County,6101,California,94737,0.0144083093194845,0.144220315188364,0.0202560773509822,0.390428238175159,0.609571761824841,91
Tehama County,6103,California,63463,0.025904857948726,0.0103367316389077,0.00639742842286056,0.185021193451302,0.814978806548698,87
Tulare County,6107,California,442179,0.0158148623068938,0.0343209424237696,0.0162739524038907,0.399297569536319,0.600702430463681,83
Ventura County,6111,California,823318,0.00979937278184128,0.0673445740285042,0.0184169421778705,0.312775865461462,0.687224134538538,32
Yolo County,6113,California,200849,0.0110232064884565,0.129709383666336,0.025929927457941,0.368266707825282,0.631733292174718,134
Adams County,8001,Colorado,441603,0.013396648120597,0.0360753889806002,0.0306587591116908,0.266773549998528,0.733226450001472,28
Arapahoe County,8005,Colorado,572003,0.00762758237281972,0.0508336494738664,0.101585131546513,0.272888428906841,0.727111571093159,24
Boulder County,8013,Colorado,294567,0.00621929815627684,0.0411892710317177,0.00859566753913371,0.127909779438973,0.872090220561027,52
Denver County,8031,Colorado,600158,0.0137247191572886,0.0340460345442367,0.102364710626202,0.3106881854445,0.6893118145555,39
Douglas County,8035,Colorado,285465,0.00414411574098401,0.03753875256161,0.0121766241045312,0.0976196731648363,0.902380326835164,42
El Paso County,8041,Colorado,622263,0.00955705224318335,0.0274080252240612,0.0618580889430996,0.202494765075217,0.797505234924783,21
Larimer County,8069,Colorado,299630,0.00736241364349364,0.0193572072222408,0.00834362380268998,0.0946600807662784,0.905339919233722,47
Mesa County,8077,Colorado,146723,0.010591386490189,0.00764024726866272,0.0063725523605706,0.105927496029934,0.894072503970066,20
Rio Blanco County,8103,Colorado,6666,0.00885088508850885,0.0033003300330033,0.0075007500750075,0.0814581458145815,0.918541854185418,23
Weld County,8123,Colorado,252825,0.0111420943340255,0.0119529318698705,0.00978146939582715,0.170991792742015,0.829008207257985,37
Fairfield County,9001,Connecticut,916829,0.00260026678911771,0.0461198325969183,0.108326634519632,0.251877940161142,0.748122059838858,25
Hartford County,9003,Connecticut,894014,0.00266998055958855,0.0424579480858242,0.133321178415551,0.276032590093667,0.723967409906333,20
Litchfield County,9005,Connecticut,189927,0.00212713305638482,0.0153111458613046,0.0134683325698821,0.0613867433276996,0.9386132566723,13
New Haven County,9009,Connecticut,862477,0.00289514966775926,0.0350884719244687,0.127365715259653,0.252450789992081,0.747549210007919,23
New London County,9011,Connecticut,274055,0.00914050099432596,0.0415354582109431,0.0584736640455383,0.178219700425097,0.821780299574903,17
New Castle County,10003,Delaware,538479,0.00292304806686983,0.0432700253863196,0.237309161545761,0.344533398702642,0.655466601297358,17
District Of Columbia,11001,District Of Columbia,601723,0.00345507816719653,0.0349928455452093,0.507085486178856,0.615319673670443,0.384680326329557,21
Alachua County,12001,Florida,247336,0.00312126014813856,0.0535102047417279,0.203294304104538,0.3039589869651,0.6960410130349,16
Brevard County,12009,Florida,543376,0.00389785342009953,0.0208860899266806,0.100849135773387,0.170138173198669,0.829861826801331,17
Broward County,12011,Florida,1748066,0.00289748785228933,0.0324901920179215,0.267449283951521,0.369456874053955,0.630543125946046,18
Duval County,12031,Florida,864263,0.00394902940424385,0.041539438805086,0.295069903490026,0.391338053347187,0.608661946652813,18
Escambia County,12033,Florida,297619,0.00881328141012503,0.0274646443943431,0.229427556708409,0.311223409795746,0.688776590204254,20
Hillsborough County,12057,Florida,1229226,0.00388781233068614,0.0342296697271291,0.166830997717263,0.287244981801556,0.712755018198444,18
Leon County,12073,Florida,275487,0.00281319989690984,0.0292318693804063,0.303172200503109,0.370278815334299,0.629721184665701,18
Miami-Dade County,12086,Florida,2496435,0.00200285607275976,0.0150891170809574,0.189460570773924,0.26219308734255,0.73780691265745,16
Orange County,12095,Florida,1145956,0.00395477662318623,0.0493744960539497,0.207897161845656,0.364028810879301,0.635971189120699,17
