state,county,gisjoin,pop_enslaved_1860,pop_total_1860,pop_total_2010,pop_black_2010,pop_white_2010,income_black_2010,income_white_2010,pct_pop_enslaved_1860,had_rosenwald_school,was_confederate
Virginia,Rockbridge,G5101630,3985,17248,22307,594,21097,23622,45089,23.1041280148423,1,1
Virginia,Rockingham,G5101650,2387,23408,76314,1273,71182,46875,49789,10.1973684210526,1,1
Virginia,Russell,G5101670,1099,10280,28897,233,28270,36154,33157,10.6906614785992,0,1
Virginia,Scott,G5101690,490,12072,23177,135,22700,71063,34808,4.05897945659377,1,1
Virginia,Shenandoah,G5101710,753,13896,41993,734,39070,56167,50353,5.41882556131261,0,1
Virginia,Smyth,G5101730,1037,8952,32208,640,30847,25278,34964,11.5840035746202,1,1
Virginia,Southampton,G5101750,5408,12915,18570,6916,11215,35728,52466,41.8737901664731,1,1
Virginia,Spotsylvania,G5101770,7786,16076,122397,18671,92452,67469,80175,48.4324458820602,1,1
Virginia,Stafford,G5101790,3314,8555,128961,21881,93483,87407,96390,38.7375803623612,1,1
Virginia,Surry,G5101810,2515,6133,7058,3254,3618,49896,63750,41.0076634599707,0,1
Virginia,Sussex,G5101830,6384,10175,12087,7023,4747,31304,47098,62.7420147420147,1,1
Virginia,Tazewell,G5101850,1202,9920,45078,1333,42868,17212,35730,12.116935483871,0,1
Virginia,Warren,G5101870,1575,6442,37575,1736,34144,37461,61796,24.4489289040671,0,1
Virginia,Washington,G5101910,2547,16892,54876,690,53249,23285,40820,15.0781434998816,1,1
Virginia,Westmoreland,G5101930,3704,8282,17454,4891,11501,52648,53398,44.7234967399179,1,1
Virginia,Wise,G5101950,66,4508,41452,2137,38561,24366,33685,1.46406388642413,0,1
Virginia,Wythe,G5101970,2162,12305,29235,818,27790,48793,38795,17.5700934579439,1,1
Virginia,York,G5101990,1925,4949,65464,8751,50031,59311,84897,38.8967468175389,1,1
