year,month,day,wday,pct_delayed,n_delayed,n_flights,pct_weather_delays,pct_security_delays,is_weekend,time
2008,3,24,1,25.6524981357196,1376,5379,1.26417549730433,0.316043874326083,0,84
2008,3,25,2,41.9031719532554,2510,5995,1.70141784820684,0.400333611342786,0,85
2008,3,26,3,30.7692307692308,1448,4712,1.48556876061121,0.445670628183362,0,86
2008,3,27,4,40.0335008375209,2629,6580,5.04559270516717,0.288753799392097,0,87
2008,3,28,5,43.3418607782416,3219,7440,2.33870967741936,0.255376344086022,0,88
2008,3,29,6,31.5397017331721,1565,4971,3.50030175015088,0.462683564675116,1,89
2008,3,30,7,48.8233805668016,3859,7921,4.55750536548416,0.416614063880823,1,90
2008,3,31,1,57.2613672162134,5453,9577,8.26981309387073,0.313250495979952,0,91
2008,4,1,2,46.0234154218813,3420,7463,3.13546831033097,0.495779177274555,0,92
2008,4,2,3,32.3410588985754,1521,4712,0.997453310696095,0.424448217317487,0,93
2008,4,3,4,39.6511079679397,2523,6388,3.78835316217909,0.250469630557295,0,94
2008,4,4,5,60.2593599665342,5762,9604,9.56892961266139,0.21865889212828,0,95
2008,4,5,6,39.6764252696456,2060,5203,6.0157601383817,0.307514895252739,1,96
2008,4,6,7,45.1191501579099,3143,6981,4.99928377023349,0.243518120613093,1,97
2008,4,7,1,33.6972083035075,1883,5602,2.15994287754373,0.321313816494109,0,98
2008,4,8,2,37.5606375606376,1626,4357,2.59352765664448,0.0918062887307781,0,99
2008,4,9,3,38.0018331805683,2073,5467,2.06694713736967,0.365831351746845,0,100
2008,4,10,4,52.0217633238531,4207,8110,7.22564734895191,0.32059186189889,0,101
2008,4,11,5,48.8720824097014,3748,7714,4.04459424423127,0.40186673580503,0,102
2008,4,12,6,36.8969746524939,1805,4901,1.69353193225872,0.2040399918384,1,103
2008,4,13,7,30.3671787186212,1621,5342,0.879820292025459,0.655185323848746,1,104
2008,4,14,1,30.2460538532962,1303,4312,0.950834879406308,0.301484230055659,0,105
2008,4,15,2,30.2831594634873,1016,3358,0.923168552709947,0.178677784395473,0,106
2008,4,16,3,35.8089453340696,1297,3625,1.32413793103448,0.275862068965517,0,107
2008,4,17,4,30.5548705302096,1239,4084,3.62389813907933,0.514201762977473,0,108
2008,4,18,5,31.7515432098765,1646,5194,1.73276857912977,0.3273007316134,0,109
2008,4,19,6,32.4410823392493,1115,3443,0.958466453674122,0.145222189950624,1,110
2008,4,20,7,40.5887939221273,2137,5284,4.20136260408781,0.302800908402725,1,111
2008,4,21,1,34.9521203830369,1533,4388,2.25615314494075,0.319051959890611,0,112
2008,4,22,2,30.5505685218432,1021,3344,1.82416267942584,0.149521531100478,0,113
2008,4,23,3,36.2333168561542,1466,4077,2.91881285258769,0.196222712779004,0,114
2008,4,24,4,32.2140608604407,1535,4773,0.963754452126545,0.167609469935051,0,115
2008,4,25,5,50.6024096385542,2856,5701,7.43729170320996,0.438519557972286,0,116
2008,4,26,6,40.8268733850129,1580,3878,2.73336771531717,0.232078390923156,1,117
2008,4,27,7,33.7071240105541,1533,4557,2.128593372833,0.21944261575598,1,118
2008,4,28,1,51.5702736318408,3317,6445,4.45306439100078,0.232738557020947,0,119
2008,4,29,2,41.8223627479161,1455,3481,2.41309968399885,0.0861821315713875,0,120
2008,4,30,3,29.5965417867435,1027,3476,0.546605293440737,0.287686996547756,0,121
2008,5,1,4,36.361669911313,1681,4627,3.0041063323968,0.280959585044305,0,122
2008,5,2,5,60.4617075851961,4950,8226,8.91077072696329,0.303914417699976,0,123
2008,5,3,6,35.974025974026,1385,3852,2.90758047767394,0.363447559709242,1,124
2008,5,4,7,33.3090909090909,1374,4129,1.13829014289174,0.290627270525551,1,125
2008,5,5,1,38.9747033803448,1741,4472,5.79159212880143,0.134168157423971,0,126
2008,5,6,2,37.0420624151967,1365,3696,5.73593073593074,0.270562770562771,0,127
2008,5,7,3,44.9450754049525,2414,5390,2.46753246753247,0.25974025974026,0,128
2008,5,8,4,33.2046332046332,1634,4929,2.17082572529925,0.284033272469061,0,129
2008,5,9,5,38.8750208021301,2336,6014,3.525108081144,0.116395078150981,0,130
